id_me,id_Hafro,id_marina,location,date_net_set,date_net_up,species,morph,length_cm,weight_g,sex,mat,diphyll_inf,age,logCsize_W,logCsize_H,logCsize_H5,logCsize_D,logCsize_M,logCsize_A,logCsize_Q,logCsize_P,logCsize_S
PC3831,KBL1,,Ofugsnadi,10/09/20,11/09/20,B,LB,42.5,1061,F,2,,8,NA,NA,NA,1.5586187,1.58071,1.331949192,0.507901495,0.13205113,0.303805222
PC3834,M3,,Ofugsnadi,10/09/20,11/09/20,B,PL,15.6,37,M,4,,5,NA,NA,NA,0.6291754,0.6628085,0.41744598,-0.497343429,-1.007234783,-0.628900693
PC3839,SBL2,,Ofugsnadi,10/09/20,11/09/20,B,PI,42.8,1131,M,4,,9,NA,NA,NA,1.7415688,1.7564629,1.438432333,0.565715388,0.350827091,0.453413358
PC3840,KBL8,,Ofugsnadi,10/09/20,11/09/20,B,LB,37.1,672,M,4,,7,NA,NA,NA,1.4828573,1.4378166,1.238995619,0.400712665,0.007383798,0.2239359
PC3841,SBL4,,Ofugsnadi,10/09/20,11/09/20,B,PI,49.5,1714,M,4,,9,NA,NA,NA,1.937873,1.9217087,1.648177346,0.765351218,0.584365556,0.739507834
PC3842,KBL10,,Ofugsnadi,10/09/20,11/09/20,B,LB,42,1010,M,4,,8,NA,NA,NA,1.8332211,1.8412973,1.484233235,0.618661318,0.400484215,0.582741503
PC3843,KBL11,,Ofugsnadi,10/09/20,11/09/20,B,LB,40.7,815,M,6,,9,NA,NA,NA,1.7678126,1.8129056,1.489670786,0.631502385,0.404936718,0.454382035
PC3844,KBL12,,Ofugsnadi,10/09/20,11/09/20,B,LB,34.7,504,M,4,,7,NA,NA,NA,1.4081087,1.459648,1.155376101,0.329647564,-0.113099349,0.154498644
PC3845,SBL6,,Ofugsnadi,10/09/20,11/09/20,B,PI,46.9,1455,M,6,,11,NA,NA,NA,2.0186447,2.0275085,1.735557058,0.809166774,0.468832295,0.816116267
PC3846,SBL7,,Ofugsnadi,10/09/20,11/09/20,B,PI,43,990,M,6,,9,NA,NA,NA,NA,1.7665138,1.483402946,0.69384329,0.296609108,0.515300449
PC3847,SBL9,,Ofugsnadi,10/09/20,11/09/20,B,PI,36.7,655,M,5,,8,NA,NA,NA,1.6099149,1.5849015,1.375730029,0.551087918,0.123313747,0.336871235
PC3848,SBL8,,Ofugsnadi,10/09/20,11/09/20,B,PI,41.2,1001,M,6,,9,NA,NA,NA,1.8546751,1.7885364,1.640953939,0.703983646,0.28820758,0.329025193
PC3849,KBL14,,Ofugsnadi,10/09/20,11/09/20,B,LB,33.8,362,F,7.2,,7,NA,NA,NA,1.4153292,1.5337752,1.219348011,0.469092422,0.033599962,0.199954906
PC3851,M6,,Ofugsnadi,10/09/20,11/09/20,B,PL,22.3,130,M,5,,9,NA,NA,NA,1.0687775,1.0937171,0.77881792,-0.05881468,-0.510273636,-0.108570193
PC3855,M8,,Ofugsnadi,10/09/20,11/09/20,B,PL,19.4,74,M,4,,5,NA,NA,NA,0.8422651,0.8475624,0.573356697,-0.291837765,-0.824705533,-0.348448378
PC3859,M12,,Ofugsnadi,10/09/20,11/09/20,B,PL,14.8,36,M,4,,5,NA,NA,NA,0.5639932,0.5783102,0.380564107,-0.479542362,-0.980015057,-0.649678957
PC3863,M17,,Ofugsnadi,10/09/20,11/09/20,B,PL,14,33,M,4,,4,NA,NA,NA,0.5710018,0.5643297,0.312414723,-0.626721654,-1.045710316,-0.663344821
PC3864,SBL10,,Ofugsnadi,10/09/20,11/09/20,B,PI,45,1078,M,6,,9,NA,NA,NA,2.0029992,1.8850439,1.633537012,0.712447596,0.414055703,0.576225145
PC3865,SBL11,,Ofugsnadi,10/09/20,11/09/20,B,PI,24.5,162,M,6,,7,NA,NA,NA,1.1564078,1.1188713,0.892462384,-0.003308647,-0.413937577,-0.071444334
PC3867,KBL16,,Ofugsnadi,10/09/20,11/09/20,B,LB,24.5,145,F,7.2,,NA,NA,NA,NA,0.9464805,1.0379227,0.749030793,-0.005818102,-0.379390371,-0.188348392
PC3868,KBL17,,Ofugsnadi,10/09/20,11/09/20,B,LB,34.2,430,F,7.2,,6,NA,NA,NA,1.038272,1.0363248,0.915739442,0.069794806,-0.444461286,-0.089012417
PC3870,M21,,Ofugsnadi,10/09/20,11/09/20,B,PL,20.5,81,F,5,,7,NA,NA,NA,0.9242483,0.8542629,0.751649328,-0.189468473,-0.725948756,-0.420980114
PC3873,M27,,Ofugsnadi,10/09/20,11/09/20,B,PL,18.5,65,M,4,,5,NA,NA,NA,0.8320848,0.8136642,0.563360614,-0.288746502,-0.880453934,-0.47031785
PC3875,M29,,Ofugsnadi,10/09/20,11/09/20,B,PL,21,103,M,4,,5,NA,NA,NA,0.9819967,0.9586296,0.709799261,-0.173513841,-0.568431211,-0.293335812
PC3876,M30,,Ofugsnadi,10/09/20,11/09/20,B,PL,18.8,74,F,5,,5,NA,NA,NA,0.7322076,0.7692542,0.548461925,-0.311364998,-0.86281665,-0.488688687
PC3885,M31,,Ofugsnadi,10/09/20,11/09/20,B,PL,19.1,72,M,6,,5,NA,NA,NA,0.8210114,0.8528283,0.588439632,-0.270792003,-0.774791158,-0.400860429
PC3896,SBL14,,Ofugsnadi,10/09/20,11/09/20,B,PI,32.8,420,M,6,,7,NA,NA,NA,1.5252606,1.5156805,1.276444401,0.336323434,-0.057643464,0.292667756
PC3898,SBL16,,Ofugsnadi,10/09/20,11/09/20,B,PI,45.6,1246,M,6,,10,NA,NA,NA,2.025862,2.02753,1.780178019,0.891376837,0.637697336,0.722530165
PC3899,KBL22,,Ofugsnadi,10/09/20,11/09/20,B,LB,48.7,1420,F,6,,9,NA,NA,NA,1.6971693,1.7703241,1.578794975,0.730224263,0.465863757,0.423072704
PC3900,SBL18,,Ofugsnadi,10/09/20,11/09/20,B,PI,42.3,1091,F,5,,8,NA,NA,NA,1.6523943,1.6069573,1.42242987,0.539349471,0.12783555,0.381403015
PC3901,SBL19,,Ofugsnadi,10/09/20,11/09/20,B,PI,32.6,396,M,6,,8,NA,NA,NA,1.4216041,1.4128628,1.103546122,0.348197621,0.004037116,0.127184106
PC3902,SBL21,,Ofugsnadi,10/09/20,11/09/20,B,PI,57.3,2894,M,5,,10,NA,NA,NA,2.1712059,2.1100131,1.936836361,1.002693349,0.71242774,0.767974669
PC3903,,2001,Olafsdrattur,27/09/20,28/09/20,B,SB,17,56.35,F,5,0,5,3.558616,1.695149,1.650081,0.6000235,0.6346327,0.422875564,-0.329402449,-0.774381933,-0.566935805
PC3904,,2002,Olafsdrattur,27/09/20,28/09/20,B,SB,12.9,28.22,F,5,0,4,3.285268,1.583344,1.53876,0.4150921,0.4516642,0.259787036,-0.524430221,-1.003410065,-0.762440408
PC3905,,2003,Olafsdrattur,27/09/20,28/09/20,B,SB,14.9,30.98,F,2,0,5,3.403798,1.664789,1.624696,0.6152143,0.6168322,0.488690337,-0.404332628,-0.777672664,-0.554405192
PC3906,,2004,Olafsdrattur,27/09/20,28/09/20,B,SB,13.7,28,F,2,0,7,3.318091,1.594758,1.551179,0.5430349,0.5517737,0.364488786,-0.489610054,-0.912239832,-0.652622396
PC3907,,2005,Olafsdrattur,27/09/20,28/09/20,B,SB,15,33.2,F,2,0,5,3.419649,1.637104,1.591123,0.5394382,0.542951,0.33628694,-0.461589175,-0.904789606,-0.720078942
PC3908,,2006,Olafsdrattur,27/09/20,28/09/20,B,SB,15.2,35.16,F,2,0,6,3.417084,1.697403,1.646303,0.6217177,0.6542346,0.474553869,-0.375509134,-0.877749849,-0.487897386
PC3909,,2007,Olafsdrattur,27/09/20,28/09/20,B,SB,13.5,22.81,M,5,0,4,3.297825,1.569547,1.529404,0.5015971,0.5668606,0.318495246,-0.480857035,-0.860448789,-0.58162046
PC3910,,2008,Olafsdrattur,27/09/20,28/09/20,B,SB,13,24.5,M,4,0,6,3.273181,1.594529,1.543316,0.5085693,0.6118178,0.309268339,-0.513813933,-0.853142035,-0.749858075
PC3911,,2009,Olafsdrattur,27/09/20,28/09/20,B,SB,14.2,27.55,F,7/2,0,4,3.355187,1.623081,1.573752,0.4846234,0.5699031,0.341165205,-0.458736398,-0.974304755,-0.619397666
PC3912,,2010,Olafsdrattur,27/09/20,28/09/20,B,SB,16.2,41.6,F,2,0,7,3.473548,1.7333,1.700636,0.6862319,0.7224972,0.598881317,-0.275239898,-0.705606857,-0.39048513
PC3913,,2011,Olafsdrattur,27/09/20,28/09/20,B,SB,12.9,24.26,M,6,0,4,3.255336,1.603327,1.545283,0.473748,0.5436717,0.294459247,-0.478010996,-0.938199131,-0.655471453
PC3914,,2012,Olafsdrattur,27/09/20,28/09/20,B,SB,15.9,45.37,F,5,0,NA,3.459736,1.702833,1.648388,0.6782429,0.703114,0.492333872,-0.448549069,-0.7808484,-0.436563848
PC3915,,2013,Olafsdrattur,27/09/20,28/09/20,B,SB,13.7,26.47,M,6,0,5,3.312954,1.621355,1.579587,0.5445751,0.6255865,0.411700976,-0.482650036,-0.875101655,-0.614504211
PC3916,,2014,Olafsdrattur,27/09/20,28/09/20,B,SB,13.9,27.19,M,6,0,4,3.340615,1.594965,1.559799,0.4695412,0.5047694,0.346609181,-0.552714799,-0.972828179,-0.785622872
PC3917,,2015,Olafsdrattur,27/09/20,28/09/20,B,SB,14.7,35.24,M,6,0,4,3.391167,1.662868,1.615158,0.5828725,0.6151123,0.378375312,-0.479749753,-0.861368739,-0.66762526
PC3918,,2016,Olafsdrattur,27/09/20,28/09/20,B,SB,14.8,35.5,M,5/6,0,5,3.396394,1.64801,1.600338,0.5853096,0.6437018,0.341066491,-0.425484283,-0.798660967,-0.566726541
PC3919,,2017,Olafsdrattur,27/09/20,28/09/20,B,SB,14.5,31.49,F,7/2,0,5,3.365911,1.635921,1.589838,0.5350201,0.6159936,0.375644162,-0.414298217,-0.85093237,-0.530809745
PC3920,,2018,Olafsdrattur,27/09/20,28/09/20,B,SB,15.8,40.13,F,6,0,7,3.454628,1.69538,1.648399,0.577064,0.6326842,0.434553271,-0.358695372,-0.732467664,-0.611759728
PC3921,,2019,Olafsdrattur,27/09/20,28/09/20,B,SB,11.2,16,F,1/2,0,3,3.110997,1.357034,1.315786,0.166474,0.1868123,0.012008063,-0.736518939,-1.230980929,-0.958540716
PC3922,,2020,Olafsdrattur,27/09/20,28/09/20,B,SB,14.8,21.2,M,6,0,4,3.390909,1.652544,1.615424,0.5711424,0.5529679,0.342416188,-0.47918158,-0.840918147,-0.690885882
PC3923,,2021,Olafsdrattur,27/09/20,28/09/20,B,SB,13.9,27.7,M,6,0,4,3.339758,1.657598,1.612584,0.5995857,0.6413723,0.443693774,-0.376377884,-0.837887336,-0.576917138
PC3924,,2022,Olafsdrattur,27/09/20,28/09/20,B,SB,13.6,26.44,M,6,0,6,3.319716,1.541916,1.495812,0.4352847,0.5046917,0.238468443,-0.498295239,-0.997121018,-0.535661778
PC3925,,2023,Olafsdrattur,27/09/20,28/09/20,B,SB,14.8,31.05,F,7/2,0,5,3.397094,1.635885,1.579156,0.4724983,0.4958832,0.294346323,-0.498022668,-0.9025594,-0.721449905
PC3926,,2024,Olafsdrattur,27/09/20,28/09/20,B,SB,13.7,25.66,M,7,0,5,3.317227,1.628067,1.580893,0.5364519,0.5866406,0.379211344,-0.397700508,-0.913631681,-0.580286804
PC3927,,2025,Olafsdrattur,27/09/20,28/09/20,B,SB,13.3,28.1,M,5,0,6,3.30091,1.567929,1.520047,0.4263665,0.5107096,0.248755575,-0.554204502,-0.950879056,-0.773731081
PC3928,,2026,Olafsdrattur,27/09/20,28/09/20,B,SB,12,18.5,F,1/2,0,4,3.191641,1.422234,1.390977,0.343988,0.3711457,0.178767422,-0.629175955,-1.060488942,NA
PC3929,,2027,Olafsdrattur,27/09/20,28/09/20,B,SB,13.3,26.92,M,5,0,5,3.277239,1.629343,1.546277,0.4993513,0.5551984,0.298777611,-0.498422433,-0.857250736,-0.568589094
PC3930,,2028,Olafsdrattur,27/09/20,28/09/20,B,SB,13.28,27.2,F,7/2,0,4,3.326907,1.588008,1.521463,0.4890359,0.5175446,0.331772422,-0.612746576,-0.968886261,NA
PC3931,,2029,Olafsdrattur,27/09/20,28/09/20,B,SB,11.8,16.33,F,2,0,5,3.161132,1.416252,1.37193,0.302511,0.3344535,0.114767637,-0.675560468,-1.059804303,-0.832935994
PC3932,,2030,Olafsdrattur,27/09/20,28/09/20,B,SB,11.5,15.13,M,5,0,5,3.143733,1.444963,1.410312,0.2926577,0.3003698,0.125155463,-0.701281172,-1.123799011,-0.881097467
PC3933,,2031,Olafsdrattur,27/09/20,28/09/20,B,SB,10.8,13.32,M,6,0,NA,3.064007,1.38585,1.341687,0.3582864,0.3872391,0.162324516,-0.784397928,-1.153053901,NA
PC3934,,2032,Olafsdrattur,27/09/20,28/09/20,B,SB,11.1,14.32,M,5,0,4,3.104728,1.379424,1.334959,0.1952916,0.2181833,0.060321702,-0.735505141,-1.183775094,-0.998433147
PC3935,,2033,Olafsdrattur,27/09/20,28/09/20,B,SB,10.4,11.87,M,1/2,0,4,3.021222,1.334947,1.272952,0.1359213,0.1303157,0.012722758,-0.864226477,-1.272472238,-1.060057207
PC4200,,,Olafsdrattur,27/09/20,28/09/20,B,PL,12.3,22.18,M,6,,5,3.26719,1.525981,1.426778,0.4072205,0.4566677,0.20841179,-0.617627977,-1.185360757,-0.748170508
PC4201,,,Olafsdrattur,27/09/20,28/09/20,B,PL,14,29.18,M,4,,5,3.338494,1.586473,1.53051,0.5865523,0.636036,0.363545927,-0.511907296,-1.076760449,-0.685221547
PC4202,,,Olafsdrattur,27/09/20,28/09/20,B,PL,13.7,31.74,M,5,,5,3.350819,1.583188,1.544438,0.5022135,0.5689762,0.321115035,-0.592796933,-1.048678246,-0.665300878
PC4203,,,Olafsdrattur,27/09/20,28/09/20,B,PL,15,38.61,M,7,,5,3.413218,1.648001,1.204426,0.6118862,0.7029269,0.416272007,-0.391863334,-1.172480586,-0.559256551
PC4204,,,Olafsdrattur,27/09/20,28/09/20,B,PL,13.4,26.01,M,5,,5,3.311481,1.55392,1.29096,0.502597,0.5801471,0.248742562,-0.550364091,-1.02897568,-0.68571631
PC4205,,,Olafsdrattur,27/09/20,28/09/20,B,PL,13.6,29.49,M,4,,4,3.318149,1.529206,1.389081,0.5378583,0.5518292,0.321075111,-0.524399347,-1.045443037,-0.609037718
PC4206,,,Olafsdrattur,27/09/20,28/09/20,B,PL,13.3,25.06,M,6,,4,3.313186,1.506442,1.352376,0.4682351,0.4802286,0.251837459,-0.627306651,-1.099458193,-0.75802836
PC4207,,,Olafsdrattur,27/09/20,28/09/20,B,PL,13.6,29.32,M,6,,4,3.320573,1.533205,2.119208,0.5604644,0.5615581,0.383151786,-0.576371,-1.151141189,NA
PC4208,,,Olafsdrattur,27/09/20,28/09/20,B,PL,14.7,37.35,M,6,,4,3.397121,1.639266,2.045555,0.6601469,0.6539983,0.396790224,-0.437608991,-0.971904167,-0.503380933
PC4209,,,Olafsdrattur,27/09/20,28/09/20,B,PL,14,30.39,M,6,,NA,3.34234,1.558935,2.05105,0.5430616,0.4873203,0.315420076,-0.516548636,-1.109427483,NA
PC4210,,,Olafsdrattur,27/09/20,28/09/20,B,PL,17,52.56,M,6,,5,3.53149,1.717891,1.992149,0.6710905,0.729533,0.449078845,-0.405903499,-0.954332778,-0.5679132
PC4211,,,Olafsdrattur,27/09/20,28/09/20,B,PL,15.6,39.25,M,5,,4,3.455658,1.656266,2.376825,0.6388534,0.5924699,0.428705941,-0.466117141,-0.952107117,-0.644028507
PC4212,,,Olafsdrattur,27/09/20,28/09/20,B,PL,13.4,25.34,M,5,,5,3.290208,1.592027,2.299052,0.5232894,0.5594861,0.326142315,-0.585197708,-1.153639724,-0.853436604
PC4213,,,Olafsdrattur,27/09/20,28/09/20,B,PL,14.4,33.98,M,6,,4,3.378612,1.586857,2.64144,0.5674114,0.5186075,0.324174824,-0.483416264,-1.066685327,-0.715283443
PC4214,,,Olafsdrattur,27/09/20,28/09/20,B,PL,12,20.83,M,6,,5,3.19751,1.449356,1.470267,0.4108039,0.4061405,0.172438837,-0.769176032,-1.135128076,-0.875872595
PC4215,,,Olafsdrattur,27/09/20,28/09/20,B,PL,17,51.2,M,6,,5,3.522867,1.749172,1.527323,0.7897646,0.7808549,0.614709904,-0.466885,-0.75804432,NA
PC4216,,,Olafsdrattur,27/09/20,28/09/20,B,PL,16.1,48.79,M,6,,4,3.48006,1.709831,1.510408,0.7110148,0.7072824,0.493574982,-0.372237633,-0.996963833,-0.495657275
PC4217,,,Olafsdrattur,27/09/20,28/09/20,B,PL,15.2,42.11,M,5,,5,3.422903,1.660827,1.602553,0.6974301,0.6077942,0.44361093,-0.500915679,-1.050330567,-0.627205819
PC4218,,,Olafsdrattur,27/09/20,28/09/20,B,PL,17.5,61.78,M,6,,5,3.567107,1.783888,1.500704,0.7737485,0.7672126,0.524806674,-0.334223346,-0.782236348,-0.437540319
PC4219,,2034,Svinnanes,09/10/20,10/10/20,B,SB,10.5,20.71,M,6,0,4,3.072505,1.377081,1.49375,0.3069576,0.4251876,0.088815222,-0.700652691,-1.165345381,-0.862300108
PC4220,,2035,Svinnanes,09/10/20,10/10/20,B,SB,14.2,21.42,M,6,0,3,3.357641,1.634719,1.437892,0.5186841,0.6014619,0.33243469,-0.478155579,-0.881958058,-0.574725232
PC4221,,2037,Svinnanes,09/10/20,10/10/20,B,SB,20.8,102.75,F,4,0,6,3.747035,2.038467,1.472949,0.9257083,0.9806895,0.732018197,-0.085066899,-0.469517096,-0.240727668
PC4222,,2038,Svinnanes,09/10/20,10/10/20,B,SB,14.1,32.86,M,6,0,8,3.359954,1.691752,1.580635,0.6275174,0.7337661,0.388424239,-0.368556672,-0.763137812,-0.566829301
PC4223,,2039,Svinnanes,09/10/20,10/10/20,B,SB,14.3,31.8,F,7/6?,0,8,3.380971,1.5829,1.503601,0.4200137,0.4826848,0.242811675,-0.574880718,-0.93785689,-0.581182912
PC4224,,2040,Svinnanes,09/10/20,10/10/20,B,SB,14.5,34.05,M,6,0,5,3.377732,1.658141,1.664918,0.5033714,NA,0.366406279,-0.438619826,-0.933411974,NA
PC4225,,2041,Svinnanes,09/10/20,10/10/20,B,SB,16,44.77,F,6,0,4,3.498314,1.669412,1.575931,0.5220466,0.5374071,0.357836444,-0.466954721,-0.88733921,-0.620172538
PC4226,,2042,Svinnanes,09/10/20,10/10/20,B,SB,11.9,14.48,F,7,0,5,3.178797,1.42236,1.531945,0.3224365,0.3361367,0.155553851,-0.694891191,-1.208561612,-0.899025117
PC4227,,2043,Svinnanes,09/10/20,10/10/20,B,SB,13.6,27.99,M,6,0,5,3.315496,1.645077,1.536672,0.6111171,0.7040514,0.367020178,-0.472911048,-0.891771672,-0.560136103
PC4228,,2044,Svinnanes,09/10/20,10/10/20,B,SB,20.2,103.34,F,7?,0,6,3.814292,1.987212,1.364929,0.8864013,0.9322941,0.699395288,-0.072704224,-0.500105078,-0.343412911
PC4229,,2045,Svinnanes,09/10/20,10/10/20,B,SB,17,71.77,F,5,0,8,3.549331,1.76804,1.70963,0.5796077,0.7528639,0.435355944,-0.351045832,-0.688550829,-0.512159656
PC4230,,2046,Svinnanes,09/10/20,10/10/20,B,SB,14.2,32.22,F,5,0,6,3.36748,1.58154,1.667737,0.4496137,0.5756849,0.31713876,-0.530342628,-0.951374827,-0.595946902
